fragment.ID,treatment,block
PV_1,enriched,1
PV_10,enriched,3
PV_11,enriched,3
PV_12,enriched,3
PV_13,enriched,4
PV_14,enriched,4
PV_15,enriched,4
PV_16,enriched,4
PV_17,control,5
PV_18,control,5
PV_19,control,5
PV_2,enriched,1
PV_20,control,5
PV_21,control,6
PV_22,control,6
PV_23,control,6
PV_24,control,6
PV_25,control,7
PV_26,control,7
PV_27,control,7
PV_28,control,7
PV_29,control,8
PV_3,enriched,1
PV_30,control,8
PV_31,control,8
PV_32,control,8
PV_4,enriched,1
PV_5,enriched,2
PV_6,enriched,2
PV_7,enriched,2
PV_8,enriched,2
PV_9,enriched,3