fragment_ID,timepoint,Treatment,Light_Value,Run,micromol.cm2.s,Rd,P
ACR10_1,TP1,initial,315.5,1,-9.734836867604998e-6,-0.539244527031866,0.469153701585112
ACR10_2,TP2,ambient,321.5,1,-6.01505754066705e-5,-0.609466727273406,0.17638258434538
ACR10_3,TP3,ambient,307,1,-5.17321986391175e-5,-0.74220041025889,0.369728580057241
ACR10_4,TP4,ambient,312.5,3,-3.61326516078395e-5,-0.653093399480007,0.392938307903565
ACR10_5,TP5,ambient,328.5,1,-2.9190191720563507e-5,-0.657716749142998,0.447547368754942
ACR11_1,TP1,initial,315.5,1,-3.35167357019482e-5,-0.545950948312931,0.304630451258906
ACR11_2,TP2,ambient,325.5,2,-5.90484990962314e-5,-0.618472817058823,0.193323623565957
ACR11_3,TP3,ambient,315,3,-3.2782236087074e-5,-0.750837869152652,0.514805769325719
ACR11_4,TP4,ambient,307.5,1,-2.3630779766995496e-5,-0.552915331118915,0.382773716796546
ACR11_5,TP5,ambient,329,2,-5.959869686211002e-6,-0.608468795759794,0.565557734019073
ACR12_1,TP1,initial,320.5,3,-4.137436115982945e-6,-0.333698570783814,0.303909030748737
ACR12_2,TP2,ambient,324.5,3,-4.4536999599647e-5,-0.800576686362678,0.47991028924522
ACR12_3,TP3,ambient,315,3,-2.203806531751799e-5,-0.61135265462533,0.452678584339203
ACR12_4,TP4,ambient,307.5,1,-1.3140917985841001e-5,-0.631020296742455,0.536405687244401
ACR12_5,TP5,ambient,324.5,3,-3.812697221720012e-7,-0.507025599796379,0.504280457796741
ACR13_1,TP1,initial,321.5,2,-3.525516764059994e-5,-0.523708354101922,0.269871147089604
ACR13_2,TP2,hot,321.5,1,-3.98793501211711e-5,-0.617397481332934,0.330266160460501
ACR13_3,TP3,hot,315,3,-1.673787587615575e-4,-2.43105950028828,1.22593243720507
ACR13_4,TP4,hot,307.5,1,-5.171537126607365e-5,-0.559927584487252,0.187576911371522
ACR13_5,TP5,hot,324.5,3,1.4720344754474502e-5,-0.22562692195501,0.331613404187227
ACR14_1,TP1,initial,315.5,1,-1.1583587681189453e-5,-0.28514925537512,0.201747424070556
ACR14_2,TP2,hot,324.5,3,-2.3940573096521497e-5,-0.596495796645221,0.424123670350266
ACR14_3,TP3,hot,315,3,-2.0298747869752496e-5,-0.747233073548703,0.601082088886489
ACR14_4,TP4,hot,307.5,1,8.831140837272506e-6,-0.418524416296891,0.482108630325255
ACR14_5,TP5,hot,324.5,3,1.0857103588826517e-6,-0.351959231008801,0.359776345592756
ACR15_1,TP1,initial,320.5,3,-4.432654112341655e-5,-0.591638829077628,0.272487732989029
ACR15_2,TP2,hot,324.5,3,-6.008816260720505e-5,-0.752593865312498,0.319959094540622
ACR15_3,TP3,hot,310.5,2,-4.7816835326186894e-5,-0.640850041547601,0.296568827199055
ACR15_4,TP4,hot,312.5,3,7.01568640487079e-5,0.11940659626812,0.385722824882577
ACR15_5,TP5,hot,329,2,-3.4802672633993104e-5,-0.536765429184048,0.286186186219298
ACR16_1,TP1,initial,315.5,1,-3.2021373282581356e-5,-0.536556813447946,0.30600292581336
ACR16_2,TP2,hot,324.5,3,-6.570581138775464e-5,-0.788374291767775,0.315292449775942
ACR16_3,TP3,hot,315,3,-5.1403423722757906e-5,-0.71676864450824,0.346663993704384
ACR16_4,TP4,hot,305,2,-3.668808046731502e-6,-0.474085097319434,0.447669679382968
ACR16_5,TP5,hot,329,2,-1.186372003203125e-5,-0.415393537489032,0.329974753258406
ACR17_1,TP1,initial,321.5,2,-4.7958806359314346e-5,-0.594236685389461,0.248933279602398
ACR17_2,TP2,hot,325.5,2,-7.083226871506245e-5,-0.661777235031496,0.151784900283046
ACR17_3,TP3,hot,310.5,2,-2.9788743830842996e-5,-0.743120042014448,0.528641086432378
ACR17_4,TP4,hot,307.5,1,-3.59834479004229e-5,-0.550285913963523,0.291205089080479
ACR17_5,TP5,hot,328.5,1,-1.3260697861524053e-5,-0.421098230070955,0.325621205467981
ACR18_1,TP1,initial,321.5,2,-5.117467137881225e-5,-0.444452194334134,0.0759945604066867
ACR18_2,TP2,hot,325.5,2,4.1043694059115e-6,-0.640459454242968,0.67001091396553
ACR18_3,TP3,hot,310.5,2,-2.04054447242815e-5,-0.576039819580639,0.429120617565811
ACR18_4,TP4,hot,305,2,-1.74689682334815e-5,-0.492597045565908,0.366820474284843
ACR18_5,TP5,hot,324.5,3,-5.45631680225035e-6,-0.388390744843947,0.349105263867743
ACR19_1,TP1,initial,320.5,3,-1.873719870056496e-6,-0.406729912210345,0.393239129145937
ACR19_2,TP2,hot,324.5,3,-1.3358410245152495e-5,-0.762625303037585,0.666444749272486
ACR19_3,TP3,hot,307,1,1.104243779921998e-6,-0.442506632531734,0.450457187747175
ACR19_4,TP4,hot,312.5,3,3.1205194142865355e-5,-0.23464351232742,0.459320910156052
ACR19_5,TP5,hot,328.5,1,4.332075452231802e-6,-0.324592644592434,0.355783587848502
ACR1_1,TP1,initial,321.5,2,-5.2569227802584946e-5,-0.652184593413312,0.273686153234699
ACR1_2,TP2,ambient,324.5,3,-5.372670883060749e-5,-0.769525837911028,0.382693534330656
ACR1_3,TP3,ambient,310.5,2,3.1889155459182995e-5,-0.512831790077143,0.742433709383262
ACR1_4,TP4,ambient,305,2,-2.1345090975895992e-5,-0.517838835447596,0.364154180421146
ACR1_5,TP5,ambient,324.5,3,4.4525567524845056e-6,-1.4862989417049,1.51835735032278
ACR20_1,TP1,initial,320.5,3,-1.26637957001665e-5,-0.482340177367051,0.391160848325853
ACR20_2,TP2,hot,321.5,1,-1.5582340490752998e-5,-0.612609760234401,0.500416908700977
ACR20_3,TP3,hot,307,1,4.571974557690062e-7,-0.499371990166101,0.502663811847637
ACR20_4,TP4,hot,312.5,3,-2.3943022024623503e-5,-0.60284697234233,0.43045721376504
ACR20_5,TP5,hot,329,2,-3.5214542637369506e-5,-0.683391019203868,0.429846312214806
ACR21_1,TP1,initial,315.5,1,-7.89531036000704e-5,-0.658207403639444,0.0897450577189388
ACR21_2,TP2,hot,321.5,1,-1.1122889128940998e-5,-0.651174353236305,0.571089551507932
ACR21_3,TP3,hot,307,1,-4.4568654655689505e-5,-0.86806167607742,0.547167362556456
ACR21_4,TP4,hot,305,2,-3.2530774035167005e-5,-0.768181650371119,0.533960077317917
ACR21_5,TP5,hot,324.5,3,-4.187484912091511e-6,-0.501699062354037,0.471549170986978
ACR22_1,TP1,initial,321.5,2,-2.7311877525038545e-5,-0.526248413510424,0.329602895330148
ACR22_2,TP2,hot,325.5,2,-5.5397743174475144e-5,-0.750458661814622,0.351594910958399
ACR22_3,TP3,hot,307,1,-5.825081767666151e-6,-0.387894414394667,0.345953825667471
ACR22_4,TP4,hot,307.5,1,1.1881813623331852e-5,-0.306073327900166,0.391622385988155
ACR22_5,TP5,hot,328.5,1,-3.35178923414058e-5,-0.538581449231278,0.297252624373158
ACR23_1,TP1,initial,320.5,3,-3.923442754625991e-5,-0.483219560719295,0.200731682386225
ACR23_2,TP2,hot,321.5,1,-4.57609094798549e-5,-0.609167003392366,0.279688455137409
ACR23_3,TP3,hot,310.5,2,8.6205628440375e-6,-0.515556991631374,0.577625044108445
ACR23_4,TP4,hot,305,2,-2.2878141789494e-5,-0.635179923456722,0.470457302572366
ACR23_5,TP5,hot,329,2,-6.922466546464549e-5,-0.981201824038806,0.48278423269336
ACR24_1,TP1,initial,321.5,2,-7.724911622181439e-5,-0.698570782570076,0.142377145773013
ACR24_2,TP2,hot,325.5,2,-2.6886814471190998e-5,-0.681992670301966,0.488407606109392
ACR24_3,TP3,hot,315,3,5.43518979202749e-6,-0.484999894709156,0.52413326121175
ACR24_4,TP4,hot,312.5,3,2.663488172157424e-5,-0.334014734326653,0.525785882721987
ACR24_5,TP5,hot,328.5,1,6.242458157271994e-6,-0.452576756664194,0.497522455396553
ACR2_1,TP1,initial,320.5,3,-2.888217527899115e-5,-0.423197137277461,0.215245475268724
ACR2_2,TP2,ambient,325.5,2,-2.2508448008999008e-5,-0.690588988572336,0.528528162907543
ACR2_3,TP3,ambient,315,3,-4.225248660501201e-5,-1.46664963827806,1.16243173472197
ACR2_4,TP4,ambient,307.5,1,2.0775598556542008e-5,-0.605975035035276,0.755559344642379
ACR2_5,TP5,ambient,328.5,1,-2.9421701649004944e-6,-0.542135629653981,0.520952004466698
ACR3_1,TP1,initial,321.5,2,-2.6187028507821e-5,-0.42251157385995,0.233964968603638
ACR3_2,TP2,ambient,321.5,1,-7.869238542001449e-5,-0.929279070533879,0.362693895509774
ACR3_3,TP3,ambient,315,3,-4.284334567635025e-5,-0.561656474517618,0.253184385647896
ACR3_4,TP4,ambient,305,2,-4.39013816985195e-5,-0.738653331550538,0.422563383321195
ACR3_5,TP5,ambient,329,2,-5.474207891905551e-5,-0.774823008098169,0.380680039880968
ACR4_1,TP1,initial,315.5,1,-5.880338526725779e-5,-0.718314303352946,0.29492992942869
ACR4_2,TP2,ambient,325.5,2,-4.9358729917510146e-5,-0.686413859945665,0.331031004539593
ACR4_3,TP3,ambient,307,1,-3.917601683436056e-5,-0.444877617327508,0.162810296120113
ACR4_4,TP4,ambient,312.5,3,-1.329256316179299e-5,-0.661515712793281,0.565809258028371
ACR4_5,TP5,ambient,328.5,1,-3.49201390835512e-5,-0.605858888540713,0.354433887139146
ACR5_1,TP1,initial,315.5,1,-4.2212758790385954e-5,-0.554499813883394,0.250567950592617
ACR5_2,TP2,ambient,321.5,1,-3.0012362310089004e-5,-0.700917116402659,0.484828107770015
ACR5_3,TP3,ambient,310.5,2,-7.572328247910896e-5,-0.637932830859126,0.0927251970095415
ACR5_4,TP4,ambient,307.5,1,-2.5287221418187005e-5,-0.548305296736671,0.366237302525724
ACR5_5,TP5,ambient,329,2,-1.0757966131485e-5,-0.678439470931645,0.600982114784955
ACR6_1,TP1,initial,320.5,3,4.446356049835995e-6,-0.614786659924125,0.646800423482946
ACR6_2,TP2,ambient,324.5,3,-8.581586569506365e-5,-0.659667718138279,0.0417934851338221
ACR6_3,TP3,ambient,307,1,-1.1746453367218488e-5,-0.562206442961537,0.477631978717565
ACR6_4,TP4,ambient,312.5,3,-2.6126918260837506e-5,-0.56888350089957,0.380769689421542
ACR6_5,TP5,ambient,329,2,6.549240227777498e-6,-0.768354481759629,0.815509011399628
ACR7_1,TP1,initial,321.5,2,2.15580812654485e-5,-0.497752146805541,0.652970331916768
ACR7_2,TP2,ambient,324.5,3,-3.0234622505898e-5,-0.632723169766735,0.415033887724269
ACR7_3,TP3,ambient,307,1,-5.345436735220145e-5,-0.454531866493104,0.0696604215572536
ACR7_4,TP4,ambient,312.5,3,-7.291044674717493e-6,-0.50267889660478,0.450183374946815
ACR7_5,TP5,ambient,328.5,1,4.5398594161715e-6,-0.388866530979548,0.421553518775982
ACR8_1,TP1,initial,320.5,3,-3.1633717293848945e-5,-0.498601226967403,0.270838462451692
ACR8_2,TP2,ambient,325.5,2,-6.31116483550541e-5,-0.690074268184051,0.235670400027662
ACR8_3,TP3,ambient,310.5,2,-1.6146813419951253e-5,-0.436483777422905,0.320226720799257
ACR8_4,TP4,ambient,305,2,-1.364696538853395e-5,-0.41982921688156,0.321571066084114
ACR8_5,TP5,ambient,324.5,3,3.7302470767389985e-6,-0.586796550119638,0.613654329072158
ACR9_1,TP1,initial,315.5,1,-9.945199261727916e-5,-0.652640833827006,-0.0634135130174025
ACR9_2,TP2,ambient,321.5,1,-6.3054721906977e-5,-0.867035074900524,0.413041077170293
ACR9_3,TP3,ambient,310.5,2,-3.8131802279268055e-5,-0.535558512302395,0.261009535891665
ACR9_4,TP4,ambient,305,2,-1.3768337933056491e-5,-0.601073233539546,0.501941200421539
ACR9_5,TP5,ambient,324.5,3,-3.51932627512465e-5,-0.722732567645266,0.469341075836289
