fragment.ID,treatment,sample.volume,panWT,DW,DTB,AW,DW-AW,vol.blastate,AFDW (g/ml),surface.area,AFDW,AFDW(mg/cm2)
PV_1,enriched,1,0.7533,0.8067,0.0533,0.7874,0.0193,27.5,0.5298,54.15,0.0098,9.7849
PV_2,enriched,1,0.7596,0.8152,0.0556,0.7968,0.0184,50,0.9217,73.85,0.0125,12.4799
PV_3,enriched,1,0.7580,0.8112,0.0532,0.7920,0.0191,50,0.9567,84.67,0.0113,11.2992
PV_4,enriched,1,0.7567,0.8070,0.0503,0.7902,0.0168,37.5,0.6287,52.84,0.0119,11.8992
PV_5,enriched,1,0.7273,0.7760,0.0488,0.7597,0.0163,50,0.8150,68.94,0.0118,11.8222
PV_6,enriched,1,0.7637,0.7844,0.0206,0.7654,0.0190,47.5,0.9009,64.52,0.0140,13.9637
PV_7,enriched,1,0.7250,0.7770,0.0520,0.7596,0.0174,40,0.6947,67.11,0.0104,10.3510
PV_8,enriched,1,0.7267,0.7761,0.0495,0.7603,0.0159,40,0.6347,80.79,0.0079,7.8557
PV_9,enriched,1,0.7301,0.8149,0.0848,0.8023,0.0126,37.5,0.4725,43.65,0.0108,10.8237
PV_10,enriched,1,0.7541,0.8064,0.0523,0.7899,0.0165,40,0.6600,69.38,0.0095,9.5125
PV_11,enriched,1,0.7225,0.7832,0.0607,0.7631,0.0201,35,0.7023,58.91,0.0119,11.9214
PV_12,enriched,1,0.7284,0.7805,0.0522,0.7625,0.0181,32.5,0.5872,58.07,0.0101,10.1107
PV_13,enriched,1,0.7238,0.7763,0.0525,0.7587,0.0176,42.5,0.7494,63.06,0.0119,11.8839
PV_14,enriched,1,0.7438,0.7957,0.0519,0.7784,0.0173,37.5,0.6475,76.12,0.0085,8.5059
PV_15,enriched,1,0.7238,0.7740,0.0502,0.7577,0.0163,40,0.6520,81.65,0.0080,7.9849
PV_16,enriched,1,0.7470,0.7995,0.0525,0.7809,0.0186,42.5,0.7905,62.17,0.0127,12.7146
PV_17,control,1,0.7246,0.7764,0.0519,0.7587,0.0177,40,0.7093,91.01,0.0078,7.7938
PV_18,control,1,0.7289,0.7816,0.0527,0.7630,0.0186,40,0.7440,84.96,0.0088,8.7568
PV_19,control,1,0.7268,0.7784,0.0516,0.7612,0.0172,40,0.6880,64.07,0.0107,10.7376
PV_20,control,1,0.7422,0.7937,0.0515,0.7765,0.0172,32.5,0.5590,52.57,0.0106,10.6339
PV_21,control,1,0.7515,0.8025,0.0510,0.7854,0.0171,30,0.5130,52.89,0.0097,9.6996
PV_22,control,1,0.7591,0.8088,0.0496,0.7923,0.0165,45,0.7425,79.68,0.0093,9.3186
PV_23,control,1,0.7303,0.7820,0.0517,0.7646,0.0174,30,0.5230,67.46,0.0078,7.7531
PV_24,control,1,0.7464,0.7975,0.0511,0.7801,0.0174,30,0.5220,56.89,0.0092,9.1758
PV_25,control,1,0.7553,0.8089,0.0536,0.7892,0.0197,22.5,0.4425,58.10,0.0076,7.6163
PV_26,control,1,0.7528,0.8024,0.0496,0.7866,0.0158,25,0.3958,42.25,0.0094,9.3695
PV_27,control,1,0.7319,0.7755,0.0436,0.7609,0.0146,25,0.3642,40.42,0.0090,9.0096
PV_28,control,1,0.7617,0.8148,0.0531,0.7962,0.0186,20,0.3720,41.33,0.0090,9.0000
PV_29,control,1,0.7604,0.8118,0.0514,0.7950,0.0168,30,0.5030,65.48,0.0077,7.6816
PV_30,control,1,0.7535,0.8037,0.0502,0.7870,0.0168,20,0.3353,43.68,0.0077,7.6772
PV_31,control,1,0.7526,0.8026,0.0500,0.7870,0.0156,27.5,0.4290,58.20,0.0074,7.3714
PV_32,control,1,0.7645,0.8154,0.0509,0.7985,0.0169,27.5,0.4638,80.72,0.0057,5.7465